epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,105.982,0.00461,0.00685,0.67706,1.07762,0.50448,0.28,0.33109,0.19013,0.23163,0.14667,0.1076,0.02709,0.01062,0.13562,3.12584,2.06523,0.00098515,0.00098515,0.00098515
32,108.923,0.0048,0.00756,0.6994,1.10805,0.57649,0.50667,0.56584,0.36124,0.16491,0.18667,0.07986,0.02663,0.00879,0.14569,1.86557,1.79592,0.000984655,0.000984655,0.000984655
33,113.546,0.00507,0.00759,0.73236,1.13589,0.81848,0.50667,0.65933,0.49404,0.09699,0.13751,0.04361,0.01141,0.00791,0.30056,1.48821,1.55224,0.00098416,0.00098416,0.00098416
34,116.673,0.00498,0.00765,0.7052,1.11168,0.52104,0.45333,0.46589,0.33355,0.24156,0.17333,0.11475,0.03689,0.00818,0.11732,1.92741,1.57234,0.000983665,0.000983665,0.000983665
35,119.757,0.00496,0.00832,0.71117,1.10849,0.49113,0.45333,0.45216,0.28935,0.49259,0.46667,0.45422,0.15637,0.00951,0.03452,2.26974,1.82677,0.00098317,0.00098317,0.00098317
36,122.789,0.00476,0.00822,0.70235,1.12848,0.46346,0.41333,0.42167,0.26889,0.5937,0.34667,0.37477,0.10882,0.00909,0.03182,2.02836,1.67153,0.000982675,0.000982675,0.000982675
37,125.966,0.0049,0.00861,0.69005,1.14258,0.38597,0.45333,0.35275,0.24622,0.33316,0.45333,0.25859,0.11154,0.00867,0.02642,2.25424,1.51392,0.00098218,0.00098218,0.00098218
38,128.93,0.00466,0.00805,0.658,1.08949,0.77055,0.49256,0.55694,0.40581,0.65173,0.48,0.5241,0.22423,0.00787,0.03176,1.72258,1.56947,0.000981685,0.000981685,0.000981685
39,132.027,0.00454,0.00735,0.62411,1.09359,0.76378,0.61333,0.65995,0.48442,0.82374,0.64,0.70821,0.46075,0.00762,0.0196,1.46829,1.47772,0.00098119,0.00098119,0.00098119
40,135.024,0.00451,0.00713,0.67264,1.10437,0.79372,0.66696,0.69003,0.50493,0.79372,0.66696,0.692,0.45001,0.0067,0.01813,1.34539,1.288,0.000980695,0.000980695,0.000980695
41,138.205,0.00445,0.00721,0.61331,1.0648,0.75544,0.53546,0.62063,0.46062,0.69984,0.56,0.60907,0.41167,0.00665,0.02038,1.55877,1.38262,0.0009802,0.0009802,0.0009802
42,141.29,0.00457,0.00734,0.64236,1.10265,0.76416,0.65333,0.68723,0.47428,0.74204,0.64,0.66106,0.38775,0.00728,0.02438,1.45414,1.47637,0.000979705,0.000979705,0.000979705
43,144.383,0.00453,0.00816,0.62054,1.09622,0.75745,0.61333,0.70724,0.50182,0.69132,0.56,0.60255,0.34312,0.0066,0.02879,1.22954,1.38427,0.00097921,0.00097921,0.00097921
44,147.747,0.00467,0.00796,0.6042,1.0832,0.81303,0.62667,0.73909,0.52151,0.67493,0.6,0.63472,0.37271,0.00668,0.02846,1.29365,1.33375,0.000978715,0.000978715,0.000978715
45,150.819,0.00447,0.00789,0.62619,1.10946,0.81782,0.65333,0.68857,0.47976,0.81395,0.64,0.68783,0.39789,0.00674,0.02628,1.35677,1.35922,0.00097822,0.00097822,0.00097822
46,153.906,0.00461,0.00836,0.62249,1.11178,0.75087,0.643,0.64605,0.45877,0.72005,0.61734,0.60576,0.385,0.00695,0.02788,1.5655,1.45806,0.000977725,0.000977725,0.000977725
47,156.924,0.00443,0.00761,0.58504,1.07896,0.768,0.57333,0.6248,0.42204,0.7954,0.58667,0.62667,0.31995,0.00804,0.03106,1.6372,1.58113,0.00097723,0.00097723,0.00097723
48,159.971,0.00438,0.00756,0.59768,1.07226,0.72779,0.5704,0.65506,0.46026,0.72779,0.5704,0.6179,0.35102,0.00706,0.03056,1.51407,1.44446,0.000976735,0.000976735,0.000976735
49,162.968,0.00453,0.00816,0.60755,1.07599,0.76923,0.65333,0.698,0.51115,0.77104,0.66667,0.71361,0.39211,0.00704,0.02715,1.33475,1.43756,0.00097624,0.00097624,0.00097624
50,165.942,0.00437,0.00739,0.60185,1.06601,0.71101,0.55772,0.57997,0.41663,0.677,0.53333,0.53592,0.28061,0.00691,0.03255,1.66719,1.42256,0.000975745,0.000975745,0.000975745
51,168.962,0.00407,0.0078,0.54389,1.02751,0.56726,0.46667,0.50002,0.36738,0.64284,0.41333,0.50899,0.27056,0.00662,0.02644,2.08905,1.38375,0.00097525,0.00097525,0.00097525
52,173.242,0.00404,0.00733,0.54466,1.05327,0.65005,0.34667,0.41936,0.25986,0.54226,0.36,0.40992,0.18591,0.00913,0.02581,2.5123,1.84215,0.000974755,0.000974755,0.000974755
53,176.259,0.00441,0.00846,0.57099,1.08587,0.71204,0.59349,0.60167,0.42644,0.66309,0.53333,0.53982,0.35804,0.00674,0.02054,1.55267,1.31956,0.00097426,0.00097426,0.00097426
54,179.178,0.00434,0.00743,0.59364,1.08226,0.71472,0.70153,0.72846,0.518,0.71296,0.69333,0.70815,0.46503,0.00689,0.01681,1.17783,1.31809,0.000973765,0.000973765,0.000973765
55,182.186,0.00439,0.00726,0.58388,1.06983,0.84837,0.72,0.77937,0.59631,0.86882,0.72,0.8072,0.5366,0.00596,0.01481,1.0098,1.25664,0.00097327,0.00097327,0.00097327
56,185.188,0.00421,0.00726,0.56832,1.05563,0.77809,0.73333,0.74403,0.54799,0.79064,0.72,0.73952,0.50784,0.00663,0.01557,1.20116,1.34951,0.000972775,0.000972775,0.000972775
57,188.354,0.00422,0.00788,0.52697,1.09088,0.72977,0.44,0.54373,0.35841,0.56029,0.45878,0.50752,0.26278,0.00839,0.02363,1.91604,1.69547,0.00097228,0.00097228,0.00097228
58,191.495,0.00437,0.00765,0.55872,1.05735,0.6055,0.53333,0.54288,0.35176,0.56493,0.49333,0.48948,0.25784,0.00865,0.02946,1.88749,1.66671,0.000971785,0.000971785,0.000971785
59,194.52,0.0043,0.00757,0.56619,1.06027,0.73734,0.46667,0.5518,0.36639,0.63499,0.45333,0.50668,0.29272,0.00872,0.02254,1.83521,1.63919,0.00097129,0.00097129,0.00097129
60,197.599,0.00427,0.00794,0.57728,1.07724,0.61957,0.64,0.62761,0.45664,0.60062,0.62164,0.60214,0.41001,0.00745,0.01843,1.51944,1.43453,0.000970795,0.000970795,0.000970795
61,200.664,0.00427,0.00754,0.54605,1.06866,0.77056,0.6269,0.66137,0.46179,0.77056,0.6269,0.66312,0.40114,0.00773,0.01672,1.41321,1.50609,0.0009703,0.0009703,0.0009703
62,203.995,0.00427,0.00773,0.5373,1.05574,0.73395,0.69893,0.69589,0.49611,0.73395,0.69893,0.69694,0.45751,0.00659,0.01514,1.27758,1.33156,0.000969805,0.000969805,0.000969805
63,207.14,0.00424,0.007,0.53101,1.04807,0.81141,0.66667,0.68044,0.48187,0.81337,0.65333,0.67458,0.45341,0.00662,0.01547,1.2447,1.35967,0.00096931,0.00096931,0.00096931
64,210.149,0.00417,0.00709,0.53641,1.06459,0.805,0.61333,0.65133,0.43504,0.76856,0.58667,0.64104,0.40446,0.00723,0.01817,1.42881,1.42519,0.000968815,0.000968815,0.000968815
65,213.157,0.00421,0.00797,0.54168,1.0596,0.69235,0.57015,0.54108,0.33161,0.78707,0.49287,0.53296,0.34277,0.00879,0.02159,1.95499,1.58864,0.00096832,0.00096832,0.00096832
66,216.267,0.0042,0.0075,0.52871,1.03727,0.64781,0.57333,0.58269,0.39377,0.68462,0.44,0.47868,0.2705,0.00719,0.03092,1.64673,1.42065,0.000967825,0.000967825,0.000967825
