epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,46.5026,0.00406,0.00875,0.63514,1.05028,0.01533,0.67647,0.10993,0.03422,0.00067,0.02941,0.02533,0.00266,0.01712,0.81197,3.86701,3.12905,0.0712858,0.000285837,0.000285837
31,47.7689,0.00376,0.00805,0.68628,0.98472,0.01467,0.64706,0.13459,0.04191,0.00133,0.05882,0.02571,0.00268,0.01619,0.7622,3.86195,2.9807,0.0702955,0.000295545,0.000295545
32,48.9956,0.00406,0.00866,0.66511,0.99376,0.01467,0.64706,0.11015,0.04714,0.002,0.08824,0.02612,0.01034,0.0152,0.74603,3.74336,2.86019,0.0693052,0.000305243,0.000305243
33,50.2847,0.00374,0.00843,0.65453,0.99263,0.016,0.70588,0.11543,0.04777,0.00133,0.05882,0.02674,0.00802,0.01542,0.75627,3.81619,2.88891,0.0683149,0.000314931,0.000314931
34,51.6453,0.00439,0.0089,0.71687,1.08769,0.01475,0.64706,0.06851,0.03107,0.00067,0.02941,0.02533,0.00253,0.01655,0.77868,4.02998,3.03754,0.0673246,0.000324609,0.000324609
35,52.8891,0.00365,0.00843,0.64666,0.99127,0.01557,0.67647,0.06505,0.02825,0.00068,0.02941,0.00039,0.00012,0.01753,0.77661,4.20813,3.39905,0.0663343,0.000334278,0.000334278
36,54.3134,0.00405,0.00799,0.65131,1.01023,0.01496,0.61765,0.03142,0.01172,0.00142,0.05882,0.00382,0.00083,0.01724,0.7556,4.35171,3.414,0.0653439,0.000343936,0.000343936
37,55.5892,0.00377,0.00718,0.59263,0.9976,0.01457,0.58824,0.02535,0.01035,0.00291,0.11765,0.00203,0.0003,0.01644,0.69048,4.37945,3.24542,0.0643536,0.000353585,0.000353585
38,56.8362,0.00391,0.00912,0.59763,0.99913,0.01594,0.64706,0.02593,0.01036,0.00435,0.17647,0.00332,0.00057,0.01558,0.66601,4.34986,2.95563,0.0633632,0.000363223,0.000363223
39,58.3703,0.00419,0.00821,0.60882,1.03124,0.01742,0.67647,0.02971,0.01045,0.00379,0.14706,0.0027,0.00048,0.01519,0.64606,4.34319,2.82339,0.0623729,0.000372852,0.000372852
40,59.7285,0.00365,0.00702,0.57697,1.00497,0.0183,0.73529,0.03468,0.01298,0.00366,0.14706,0.00269,0.00057,0.01445,0.67682,4.22671,2.64524,0.0613825,0.000382471,0.000382471
41,62.0685,0.00368,0.00795,0.54316,0.98981,0.01751,0.76471,0.03442,0.01319,0.00673,0.29412,0.00672,0.00119,0.01412,0.71001,4.16045,2.5755,0.0603921,0.00039208,0.00039208
42,63.6785,0.00386,0.00868,0.66193,1.01061,0.01613,0.70588,0.02634,0.01134,0.0047,0.20588,0.00386,0.00089,0.01385,0.71568,4.25115,2.40913,0.0594017,0.000401679,0.000401679
43,64.9336,0.00402,0.00796,0.62016,1.03632,0.01662,0.70588,0.03006,0.01188,0.00346,0.14706,0.00262,0.0007,0.01352,0.74443,4.21451,2.38403,0.0584113,0.000411268,0.000411268
44,66.256,0.00417,0.00861,0.61658,1.03507,0.01739,0.73529,0.02426,0.00944,0.00209,0.08824,0.00156,0.00051,0.01364,0.7576,4.22877,2.60094,0.0574208,0.000420847,0.000420847
45,67.5135,0.00432,0.00932,0.59502,1.04141,0.01676,0.73529,0.0263,0.00896,0.00469,0.20588,0.00328,0.00103,0.01318,0.88561,4.14647,2.50506,0.0564304,0.000430417,0.000430417
46,68.8203,0.0038,0.00754,0.53857,0.99904,0.01745,0.73529,0.02217,0.00995,0.00419,0.17647,0.0028,0.00103,0.01242,1.02544,4.15472,2.31406,0.05544,0.000439976,0.000439976
47,70.161,0.00376,0.00671,0.54472,0.99922,0.02006,0.76471,0.02655,0.01402,0.0054,0.20588,0.00358,0.00098,0.01199,1.10298,4.12779,2.28276,0.0544495,0.000449526,0.000449526
48,71.4223,0.00381,0.00753,0.53992,0.99657,0.02235,0.70588,0.03423,0.01675,0.00652,0.20588,0.00505,0.00173,0.01172,1.15376,4.10943,2.15675,0.0534591,0.000459065,0.000459065
49,72.7764,0.0033,0.00674,0.51528,0.93739,0.02609,0.70588,0.06651,0.04643,0.01196,0.32353,0.00972,0.00297,0.01144,1.13928,3.96294,2.04156,0.0524686,0.000468595,0.000468595
50,74.071,0.00362,0.00781,0.52118,0.98664,0.02922,0.67647,0.07837,0.05644,0.01144,0.26471,0.00866,0.00294,0.01127,1.10509,3.94635,2.03366,0.0514781,0.000478115,0.000478115
51,75.3476,0.00388,0.00855,0.56834,1.02184,0.03066,0.61765,0.09286,0.06708,0.00876,0.17647,0.00843,0.00324,0.0115,0.96583,3.96223,2.11192,0.0504876,0.000487625,0.000487625
52,76.6215,0.00338,0.0063,0.49083,0.93535,0.02963,0.58824,0.12715,0.0886,0.01037,0.20588,0.00982,0.0025,0.01166,0.89053,4.02349,2.25463,0.0494971,0.000497125,0.000497125
53,77.932,0.00385,0.0076,0.53656,0.99124,0.03295,0.58824,0.10667,0.07809,0.00659,0.11765,0.0044,0.00111,0.01231,0.81749,4.07273,2.33569,0.0485066,0.000506615,0.000506615
54,79.1532,0.00352,0.00713,0.51062,0.98472,0.03209,0.52941,0.06207,0.04094,0.00713,0.11765,0.00427,0.00137,0.01319,0.69884,4.25909,2.4809,0.0475161,0.000516095,0.000516095
55,80.4511,0.00376,0.0073,0.55024,0.98261,0.03158,0.44118,0.03967,0.02371,0.00632,0.08824,0.00356,0.0012,0.01341,0.62713,4.28456,2.42418,0.0465256,0.000525566,0.000525566
56,81.8242,0.0036,0.00686,0.50653,0.94301,0.02582,0.32353,0.03076,0.02259,0.00469,0.05882,0.0025,0.00037,0.0131,0.61841,4.26784,2.25614,0.045535,0.000535026,0.000535026
57,83.0779,0.00374,0.00721,0.54616,0.967,0.02915,0.38235,0.03242,0.02089,0.00224,0.02941,0.00117,0.00012,0.01333,0.63343,4.22197,2.32842,0.0445445,0.000544477,0.000544477
58,84.526,0.00338,0.00649,0.48968,0.98043,0.02232,0.29412,0.02114,0.01349,0,0,0,0,0.01329,0.64956,4.37161,2.41278,0.0435539,0.000553917,0.000553917
59,85.8122,0.00337,0.00681,0.45209,0.94318,0.02878,0.35294,0.0268,0.01227,0,0,0,0,0.01387,0.61771,4.33153,2.61212,0.0425633,0.000563348,0.000563348
60,87.1562,0.00342,0.00642,0.47167,0.97412,0.02168,0.23529,0.01717,0.00687,0,0,0,0,0.01525,0.57419,4.39942,2.77595,0.0415728,0.000572769,0.000572769
61,88.4436,0.00355,0.00733,0.49691,0.96375,0.02292,0.23529,0.01553,0.00494,0,0,0,0,0.01729,0.52294,4.4847,3.24858,0.0405822,0.00058218,0.00058218
62,89.8074,0.00331,0.00659,0.50547,0.92981,0.02312,0.23529,0.01634,0.00494,0.00578,0.05882,0.00308,0.00031,0.01757,0.49381,4.4652,3.31375,0.0395916,0.000591581,0.000591581
63,92.4664,0.00383,0.00755,0.52106,1.05351,0.0285,0.32353,0.02112,0.00536,0.00777,0.08824,0.00447,0.00058,0.01773,0.51802,4.48068,3.40848,0.038601,0.000600972,0.000600972
64,93.8376,0.00342,0.00628,0.47558,0.96269,0.03195,0.29412,0.02242,0.00623,0.00319,0.02941,0.00249,0.00094,0.01706,0.5577,4.53308,3.11452,0.0376104,0.000610353,0.000610353
65,95.1404,0.00349,0.00628,0.49984,0.95853,0.03922,0.29412,0.04161,0.01358,0.00784,0.05882,0.00627,0.0026,0.0165,0.56143,4.41743,2.85451,0.0366197,0.000619725,0.000619725
66,96.4249,0.00308,0.00618,0.4329,0.92217,0.04762,0.32353,0.08092,0.04271,0.00433,0.02941,0.00524,0.00241,0.01548,0.53277,4.2844,2.516,0.0356291,0.000629086,0.000629086
67,97.6911,0.00357,0.00674,0.49638,0.96195,0.05645,0.41176,0.05737,0.0273,0.00806,0.05882,0.03283,0.00459,0.01499,0.48452,4.16468,2.49838,0.0346384,0.000638438,0.000638438
68,99.0385,0.00355,0.00753,0.46765,0.98374,0.0418,0.38235,0.03989,0.01671,0.00643,0.05882,0.00701,0.002,0.01568,0.46678,4.19056,2.78816,0.0336478,0.000647779,0.000647779
69,100.359,0.00343,0.00667,0.43138,0.95315,0.04152,0.35294,0.04556,0.02171,0.04284,0.05882,0.01349,0.00239,0.01506,0.47633,4.19135,2.85254,0.0326571,0.000657111,0.000657111
70,101.645,0.00329,0.00738,0.44653,0.95219,0.05752,0.38235,0.09595,0.04828,0.0177,0.11765,0.01443,0.00582,0.0146,0.42699,4.12176,2.70408,0.0316664,0.000666433,0.000666433
71,102.974,0.00322,0.00653,0.43297,0.93271,0.07254,0.41176,0.19065,0.1211,0.02591,0.14706,0.02373,0.00818,0.01347,0.44107,3.99349,2.50056,0.0306757,0.000675745,0.000675745
72,104.289,0.00329,0.00668,0.44916,0.95116,0.09412,0.47059,0.24442,0.17598,0.03529,0.17647,0.03395,0.01164,0.01213,0.48832,3.78323,2.36222,0.029685,0.000685047,0.000685047
73,105.554,0.00332,0.00655,0.42591,0.97135,0.55169,0.18131,0.29522,0.19216,0.42899,0.02941,0.02408,0.00776,0.012,0.50682,3.61354,2.31891,0.0286943,0.000694339,0.000694339
74,106.894,0.00344,0.00655,0.46277,1.00249,0.40819,0.35294,0.27262,0.17457,0.08423,0.02941,0.01509,0.00313,0.01174,0.46267,3.52589,2.30748,0.0277036,0.000703621,0.000703621
75,108.279,0.00374,0.00663,0.47226,1.0216,0.08696,0.52941,0.24125,0.13573,0.20997,0.02941,0.05004,0.00925,0.01223,0.39256,3.62551,2.36932,0.0267129,0.000712894,0.000712894
76,109.544,0.00358,0.00599,0.46671,0.96674,0.08182,0.52941,0.18902,0.11633,0.03636,0.23529,0.06192,0.0168,0.01193,0.35567,3.69218,2.27897,0.0257222,0.000722156,0.000722156
77,110.797,0.00326,0.00565,0.4606,0.93375,0.07273,0.35294,0.10141,0.06048,0.19442,0.11765,0.05799,0.01886,0.01215,0.31383,3.96377,2.34457,0.0247314,0.000731409,0.000731409
78,112.077,0.00321,0.0067,0.42428,0.94032,0.04082,0.17647,0.08538,0.04932,0.02721,0.11765,0.0747,0.02162,0.01397,0.29211,4.0944,2.5888,0.0237407,0.000740651,0.000740651
79,113.415,0.00354,0.00616,0.46228,0.96455,0.03597,0.14706,0.05048,0.02248,0.02878,0.11765,0.04559,0.01477,0.01443,0.27269,4.28347,2.63665,0.0227499,0.000749884,0.000749884
80,114.658,0.00284,0.00623,0.42316,0.90859,0.04615,0.17647,0.04049,0.01525,0.02308,0.08824,0.02755,0.00782,0.01484,0.25534,4.32201,2.68366,0.0217591,0.000759107,0.000759107
81,115.957,0.0036,0.00734,0.47746,0.94626,0.05512,0.20588,0.04765,0.02002,0.02362,0.08824,0.01588,0.00846,0.01488,0.21281,4.31846,2.73486,0.0207683,0.00076832,0.00076832
